"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C7","4","C 10uF","","","","","~"
"C4,C5,C6,C9,C10","5","C 100nF","","","","","~"
"C8","1","10nF","","","","","~"
"C11","1","1uF","","","","","~"
"IC1","1","RAK4630","","","","RAK4630","https://dl-docs.rakwireless.com/api/render/?emulateScreenMedia=false&pdf.format=legal&url=https%3A%2F%2Fdocs.rakwireless.com%2FProduct-Categories%2FWisDuo%2FRAK4630-Module%2FDatasheet%2F"
"J1","1","Conn_01x03","","","","","~"
"J2","1","Conn_01x05","","","","","~"
"J3","1","USB_C_Receptacle_USB2.0_14P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"L1","1","2.2uH","","","","","~"
"R1,R6,R7","3","10k","","","","","~"
"R2,R3","2","1k","","","","","~"
"R4,R5","2","4.7k","","","","","~"
"R8,R9","2","5.1k","","","","","~"
"U1","1","BQ24074RGT","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","http://www.ti.com/lit/ds/symlink/bq24074.pdf"
"U2","1","TPS62840DLCR","","","","TPS62840DLCR:SON50P200X150X100-8N",""
"U3","1","MAX17048G_T10","","","","MAX17048G_T10:SON50P200X200X80-9N",""
"U4","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U5","1","GM02SP","","","","GM02SP:XCVR_GM02SP",""
