RefDes     X          Y          Rot.       Exact     (FREE)    Side
ANT1       104.1500   10.5000    270        EXACT     (FREE)    Top                           
C1         87.7750    64.5750    270        EXACT     (FREE)    Top                           
C2         82.2250    30.4000    270        EXACT     (FREE)    Top                           
C3         32.9000    56.8000    090        EXACT     (FREE)    Top                           
C4         42.7250    58.1000    090        EXACT     (FREE)    Top                           
C5         40.1250    52.6000    180        EXACT     (FREE)    Top                           
C6         48.8750    56.7750    270        EXACT     (FREE)    Top                           
C7         46.8250    53.0500    180        EXACT     (FREE)    Top                           
C8         47.2500    53.9500    180        EXACT     (FREE)    Top                           
C9         04.2750    23.1750    090        EXACT     (FREE)    Top                           
C10        05.0250    29.7750    180        EXACT     (FREE)    Top                           
C11        12.7250    23.1750    090        EXACT     (FREE)    Top                           
C12        12.7250    28.9250    090        EXACT     (FREE)    Top                           
C13        20.5000    51.5250    270        EXACT     (FREE)    Top                           
C14        19.4750    44.3750    270        EXACT     (FREE)    Top                           
C15        11.9750    44.5750    000        EXACT     (FREE)    Top                           
C16        18.6500    38.3750    090        EXACT     (FREE)    Top                           
C17        15.4500    30.5250    000        EXACT     (FREE)    Top                           
C18        09.9500    30.5250    000        EXACT     (FREE)    Top                           
C19        04.2250    36.8250    270        EXACT     (FREE)    Top                           
C20        03.5500    36.7000    270        EXACT     (FREE)    Top                           
C21        04.6250    39.3250    270        EXACT     (FREE)    Top                           
C22        03.4250    40.0000    090        EXACT     (FREE)    Top                           
C23        07.4250    44.1750    180        EXACT     (FREE)    Top                           
C24        18.7250    35.6000    000        EXACT     (FREE)    Top                           
C25        04.0750    35.6000    180        EXACT     (FREE)    Top                           
C26        16.2750    42.9500    000        EXACT     (FREE)    Top                           
C27        05.1750    42.5000    000        EXACT     (FREE)    Top                           
C28        04.0250    42.5000    180        EXACT     (FREE)    Top                           
C29        68.9250    -00.2250   090        EXACT     (FREE)    Top                           
C30        10.8250    20.3000    270        EXACT     (FREE)    Top                           
C31        18.5750    20.3000    270        EXACT     (FREE)    Top                           
C32        94.4750    50.4000    270        EXACT     (FREE)    Top                           
C33        19.4250    28.7500    090        EXACT     (FREE)    Top                           
C34        25.4750    42.7500    180        EXACT     (FREE)    Top                           
C35        83.8500    05.7000    270        EXACT     (FREE)    Top                           
C36        56.4250    56.6500    180        EXACT     (FREE)    Top                           
C37        100.4250   -01.2500   270        EXACT     (FREE)    Top                           
C38        83.0500    05.9000    270        EXACT     (FREE)    Top                           
C39        83.0500    03.5500    270        EXACT     (FREE)    Top                           
C40        86.3500    03.5500    270        EXACT     (FREE)    Top                           
C41        25.9250    34.2000    180        EXACT     (FREE)    Top                           
C42        20.6750    34.2000    000        EXACT     (FREE)    Top                           
C43        08.5000    51.1750    090        EXACT     (FREE)    Top                           
C44        70.1500    27.4500    000        EXACT     (FREE)    Bottom                        
C45        41.7750    52.5750    270        EXACT     (FREE)    Top                           
C46        85.5500    01.2250    090        EXACT     (FREE)    Top                           
C47        82.0500    03.5500    270        EXACT     (FREE)    Top                           
C48        87.7500    04.7250    000        EXACT     (FREE)    Top                           
C49        87.7500    02.3750    000        EXACT     (FREE)    Top                           
C50        11.2000    23.6000    180        EXACT     (FREE)    Top                           
C51        10.9500    28.9250    090        EXACT     (FREE)    Top                           
C52        70.0500    00.9000    270        EXACT     (FREE)    Top                           
C53        59.7250    16.5000    090        EXACT     (FREE)    Top                           
C54        70.4500    21.1250    000        EXACT     (FREE)    Top                           
C55        68.0500    21.1250    180        EXACT     (FREE)    Top                           
C56        58.4000    27.4500    000        EXACT     (FREE)    Bottom                        
C57        69.1750    01.9500    270        EXACT     (FREE)    Top                           
C58        68.0000    01.5500    000        EXACT     (FREE)    Top                           
C59        87.2250    64.5750    270        EXACT     (FREE)    Top                           
C60        87.8000    62.0500    270        EXACT     (FREE)    Top                           
C61        87.7750    59.5000    270        EXACT     (FREE)    Top                           
C62        87.7750    58.3500    270        EXACT     (FREE)    Top                           
C63        64.5250    00.9750    180        EXACT     (FREE)    Top                           
C64        65.9000    01.8250    090        EXACT     (FREE)    Top                           
C67        74.0250    02.5500    270        EXACT     (FREE)    Top                           
D1         -04.0000   57.5000    270        EXACT     (FREE)    Top                           
D2         -04.0000   07.5000    270        EXACT     (FREE)    Top                           
D3         57.4250    62.7750    270        EXACT     (FREE)    Top                           
D4         36.8750    53.5000    180        EXACT     (FREE)    Top                           
D5         70.3250    00.0500    000        EXACT     (FREE)    Top                           
F1         73.2250    00.0750    000        EXACT     (FREE)    Top                           
F2         00.7000    37.8500    000        EXACT     (FREE)    Top                           
FID1       -05.0000   -00.5000   000        EXACT     (FREE)    Top                           
