"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"AE1","1","NFC Antenna 13.56mhz","","","","","~"
"AE2","1","Antenna","","","","","~"
"BZ1","1","Buzzer","","","","","~"
"C1","1","C 10uF","","","","","~"
"C2,C3,C7,C20","4","10uF","","","","","~"
"C4,C11","2","1uF","","","","","~"
"C5,C6,C10,C13,C16,C18,C21,R21","8","100nF","","","","","~"
"C9","1","C 100nF","","","","","~"
"C19","1","220 uF","","","","","~"
"C22","1","100 nF","","","","","~"
"D2,D3","2","LED","","","","","~"
"IC1","1","RAK4630","","","","RAK4630:RAK4630","https://dl-docs.rakwireless.com/api/render/?emulateScreenMedia=false&pdf.format=legal&url=https%3A%2F%2Fdocs.rakwireless.com%2FProduct-Categories%2FWisDuo%2FRAK4630-Module%2FDatasheet%2F"
"IC4","1","GM02SP","","","","GM02SP:GM02SP","https://fccid.io/2AAGMGM02S/User-Manual/User-manual-v2-5084773.pdf"
"IC5","1","SKY65723-11","","","","","https://www.skyworksinc.com/-/media/SkyWorks/Documents/Products/2801-2900/SKY65723_11_203921F.pdf"
"J1","1","Conn_01x03","","","","","~"
"J2","1","Conn_01x05","","","","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
"J3","1","USB_C_Receptacle_USB2.0_14P","","","","","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J4,J10","2","Conn_01x08","","","","Connector_JST:JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal","~"
"J9","1","Conn_01x04","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J11,J13","2","CONUFL001-SMD-T","","","","","https://eu.mouser.com/datasheet/2/418/9/ENG_DS_CONUFL001_SMD_T_B-3238717.pdf"
"J12","1","SIM8055-6-1-14-00-A","","","","sim8055:SIM8055611401A",""
"JP2","1","SJ_2_Open","","Excluded from BOM","","","~"
"JP4,JP5,JP6","3","SJ_2_Bridged","","Excluded from BOM","","","~"
"L1","1","2.2uH","","","","","~"
"R1,R2,R3,R19,R20,R36","6","1k","","","","","~"
"R4,R5,R43","3","4.7k","","","","","~"
"R6,R7,R22,R23,R25,R26","6","10k","","","","","~"
"R8,R9","2","5.1k","","","","","~"
"R24,R27,R28,R35","4","100k","","","","","~"
"R33,R34","2","1M","","","","","~"
"R37","1","22R","","","","","~"
"R38,R39","2","22O","","","","","~"
"R40,R42","2","0R","DNP","","","","~"
"R41","1","0R","","","","","~"
"SW1,SW2","2","SW_Push","","","","","~"
"T2","1","NX3008PBKMB","","","","NX3008NBKW_115:SOT65P210X110-3N",""
"TP14","1","NRF_VCC_3v3","","","","","~"
"TP15","1","UART_RX","","","","","~"
"TP16","1","UART_TX","","","","","~"
"TP17,TP18,TP30,TP38","4","GND","","","","","~"
"TP20","1","QSPI_CS","","","","","~"
"TP21","1","QSPI_DI0","","","","","~"
"TP22","1","QSPI_DIO1","","","","","~"
"TP23","1","QSPI_DIO2","","","","","~"
"TP24","1","QSPI_CLK","","","","","~"
"TP29","1","TXD1","","","","","~"
"TP31","1","RESETN","","","","","~"
"TP32","1","RES_FFF/FFH","","","","","~"
"TP33","1","CTS1","","","","","~"
"TP34","1","RXD1","","","","","~"
"TP35","1","UART0_TX","","","","","~"
"TP36","1","UART0_RX","","","","","~"
"TP37","1","RTS1","","","","","~"
"TP39","1","TXD2","","","","","~"
"TP40","1","RXD2","","","","","~"
"TP41","1","JTAG_TCK","","","","","~"
"TP42","1","JTAG_TDO","","","","","~"
"TP43","1","JTAG_TRSTN","","","","","~"
"TP44","1","JTAG_TDI","","","","","~"
"TP45","1","GM02SP_VBAT","","","","","~"
"TP46","1","JTAG_TMS","","","","","~"
"U1","1","BQ24074RGT","","","","Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.6x1.6mm","http://www.ti.com/lit/ds/symlink/bq24074.pdf"
"U2","1","TPS62840DLCR","","","","Package_SON:VSON-8_1.5x2mm_P0.5mm",""
"U3","1","MAX17048G_T10","","","","MAX17048G_T10:SON50P200X200X80-9N",""
"U4","1","USBLC6-2SC6","","","","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf"
"U5","1","W25Q128JVP","DNP","","","Package_SON:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4.3mm","https://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf"
