SEQUANS PAP option for HWPT011X6.pcb on 17/01/2024 10:53:29


Assembly Option: BaseOption

Name     PCB Decal  Value    Layer Name                     Position X Position Y Orientatio 
--------------------------------------------------------------------------------------------
ANT1     ANT_FR01-S NN03-310 Top                            104.150    10.500     270        
C1       0201_0M33  100n     Top                            87.775     64.575     270        
C3       0603_0M85  10u      Top                            49.500     31.175     90         
C4       0603_0M85  10u      Top                            58.675     32.775     90         
C5       0603_0M85  10u      Top                            62.875     29.750     180        
C6       0603_0M85  10u      Top                            63.575     26.400     270        
C7       0603_0M85  10u      Top                            64.200     24.000     90         
C8       0201_0M33  100n     Top                            63.325     23.725     90         
C9       0201_0M33  100n     Top                            57.975     3.600      270        
C10      0201_0M33  100n     Top                            50.025     3.600      270        
C11      0201_0M33  100n     Top                            57.975     9.000      270        
C12      0201_0M33  100n     Top                            50.025     9.000      270        
C15      0201_0M33  100n     Top                            48.075     25.500     180        
C16      0201_0M33  100n     Top                            51.925     19.150     270        
C17      0201_0M33  100n     Top                            52.225     14.350     0          
C18      0201_0M33  100n     Top                            42.850     11.550     270        
C19      0201_0M33  100n     Top                            37.400     18.025     270        
C20      0402_0M50  4u7      Top                            36.725     17.825     270        
C21      0201_0M33  100n     Top                            37.500     20.875     90         
C22      0402_0M50  4u7      Top                            36.725     20.900     90         
C23      0201_0M33  100n     Top                            40.775     24.550     90         
C24      0201_0M33  100n     Top                            51.925     16.650     270        
C25      0201_0M33  100n     Top                            38.277     16.637     270        
C26      0402_0M50  4u7      Top                            49.550     24.675     90         
C27      0201_0M33  39p      Top                            34.500     23.300     90         
C28      0201_0M33  33p      Top                            34.500     22.150     270        
C29      0201_0M33  1n0      Top                            68.925     -0.225     90         
C35      0201_0M33  100n     Top                            83.750     5.700      270        
C37      0402_0M50  0p8      Top                            100.425    -1.250     270        
C38      0402_0M40  0R0      Top                            83.050     5.900      270        
C39      0402_0M50  2p7      Top                            83.050     3.550      270        
C40      0402_0M50  3p2      Top                            86.350     3.550      270        
C43      0201_0M33  100n     Top                            44.625     34.200     180        
C45      0201_0M33  100n     Top                            63.875     31.100     0          
C46      0201_0M33  100n     Top                            85.675     1.225      90         
C47      0402_0M40  0R0      Top                            82.050     3.550      270        
C48      0402_0M40  NF       Top                            87.750     4.725      0          
C49      0402_0M40  NF       Top                            87.750     2.375      0          
C52      0201_0M33  56p      Top                            70.050     0.900      270        
C53      0201_0M33  NF       Top                            57.125     16.225     180        
C54      0603_0M85  NF       Top                            68.056     23.215     180        
C55      0603_0M85  NF       Top                            68.050     21.900     180        
C56      CER_11M3X1 NF       Bottom                         66.500     21.900     0          
C67      0201_0M33  100n     Top                            74.025     2.550      270        
D1       LED_0603A_ GRN      Top                            58.725     28.450     180        
D4       LED_0603A_ RED      Top                            55.450     28.450     180        
D5       0201_0M33  ESD8472  Top                            70.325     0.050      0          
F1       FIL_DLP0NS DLP0NSN9 Top                            37.800     19.175     0          
F2       FIL-SAFFB  SAFFB1G5 Top                            73.225     0.075      0          
FID1     FIDUCIAL            Top                            -5.000     -0.500     0          
FID2     FIDUCIAL            Top                            103.500    73.500     0          
J1       CON_RF_MM8 MM8430-2 Top                            81.800     9.825      0          
J2       CON5_USB_M USB-4734 Top                            -7.900     37.500     270        
J3       CON_RF_UFL U.LF     Top                            70.050     -3.000     180        
J5       CON_RF_UFL U.LF     Top                            81.775     14.450     270        
J6       CON6_MICRO C792     Top                            106.000    61.000     90         
J7       CON3_SIL_2 3x1WAY-2 Top                            33.500     14.600     0          
J9       CON2-MICRO 43650-02 Bottom                         0.075      58.600     90         
J10      CON3_SIL_2 3x1WAY-0 Top                            2.050      46.900     90         
L1       0402_0M60  8n7      Top                            83.450     4.725      0          
L2       0402_0M60  15N      Top                            83.450     2.375      0          
L3       0402_0M60  30R@100M Top                            35.925     17.825     90         
L4       0402_0M60  30R@100M Top                            35.925     20.900     270        
L5       L0603_1M1_ 8n4      Top                            101.525    -1.250     270        
L6       0402_0M40  0R0      Top                            83.050     1.200      270        
L7       0402_0M60  12n      Top                            85.950     4.725      180        
L8       0402_0M60  10n      Top                            85.950     2.375      180        
L9       0402_0M40  0R0      Top                            86.350     1.200      270        
L10      0402_0M40  NF       Top                            81.650     4.725      180        
L11      0402_0M40  NF       Top                            81.650     2.375      180        
L12      0402_0M40  0R0      Top                            82.050     1.200      270        
L13      0402_0M40  0R0      Top                            87.350     5.900      270        
L14      0402_0M60  2n9      Top                            87.350     3.550      270        
L15      0402_0M50  3p2      Top                            87.350     1.200      270        
L16      0201_0M35  39n      Top                            69.775     -0.500     0          
L17      0201_0M45  10n      Top                            73.375     0.950      0          
R1       0603_0M60  0R0      Top                            66.700     26.225     270        
R2       0201_0M28  100K     Top                            61.150     2.000      180        
R3       0201_0M28  NF       Top                            77.900     8.225      0          
R4       0201_0M28  NF       Top                            61.700     2.000      180        
R5       0201_0M28  100K     Top                            71.075     38.050     0          
R6       0201_0M28  NF       Top                            87.500     65.425     0          
R7       0201_0M28  0R0      Top                            71.875     2.650      180        
R12      0201_0M28  4K7      Top                            88.900     57.325     270        
R13      0201_0M28  100K     Top                            68.425     1.800      270        
R14      0201_0M28  100K     Top                            67.875     1.800      270        
R15      0402_0M60  5n1      Top                            87.125     -4.000     0          
R16      0402_0M40  0R0      Top                            86.350     5.900      270        
R17      0402_0M40  0R0      Top                            82.050     5.900      270        
R18      0201_0M28  0R0      Top                            74.886     2.838      180        
R20      0201_0M28  10K      Top                            49.725     7.775      0          
R21      0201_0M28  10K      Top                            49.975     12.900     90         
R22      0201_0M28  330R     Top                            57.875     30.200     270        
R23      0201_0M28  12K      Top                            37.975     20.025     0          
R24      0201_0M28  1K0      Top                            33.500     16.225     270        
R25      0201_0M28  100K     Top                            58.275     5.825      180        
R26      0201_0M28  100K     Top                            58.275     11.225     180        
R27      0201_0M28  100K     Top                            65.400     1.500      90         
R28      0201_0M28  100K     Top                            65.950     1.800      270        
R29      0201_0M28  NF       Top                            45.300     7.100      90         
R35      0201_0M28  4K7      Top                            45.300     8.875      90         
R36      0201_0M28  NF       Top                            77.925     9.550      270        
R37      0201_0M28  NF       Top                            78.775     10.950     0          
R38      0201_0M28  NF       Top                            79.625     9.550      270        
R39      0201_0M28  100K     Top                            57.125     17.025     0          
R45      0402_0M40  0R0      Top                            58.275     31.175     0          
R46      0402_0M40  0R0      Top                            63.575     28.375     270        
R47      0201_0M28  2K2      Top                            43.900     25.500     180        
R48      0201_0M28  10K      Top                            45.075     25.500     180        
R49      0201_0M28  220R     Top                            52.375     28.450     0          
