RefDes     X          Y          Rot.       Exact     (FREE)    Side
ANT1       104.1500   10.5000    270        EXACT     (FREE)    Top                           
C1         87.7750    64.5750    270        EXACT     (FREE)    Top                           
C3         49.5000    31.1750    090        EXACT     (FREE)    Top                           
C4         58.6750    32.7750    090        EXACT     (FREE)    Top                           
C5         62.8750    29.7500    180        EXACT     (FREE)    Top                           
C6         63.5750    26.4000    270        EXACT     (FREE)    Top                           
C7         64.2000    24.0000    090        EXACT     (FREE)    Top                           
C8         63.3250    23.7250    090        EXACT     (FREE)    Top                           
C9         57.9750    03.6000    270        EXACT     (FREE)    Top                           
C10        50.0250    03.6000    270        EXACT     (FREE)    Top                           
C11        57.9750    09.0000    270        EXACT     (FREE)    Top                           
C12        50.0250    09.0000    270        EXACT     (FREE)    Top                           
C15        48.0750    25.5000    180        EXACT     (FREE)    Top                           
C16        51.9250    19.1500    270        EXACT     (FREE)    Top                           
C17        52.2250    14.3500    000        EXACT     (FREE)    Top                           
C18        42.8500    11.5500    270        EXACT     (FREE)    Top                           
C19        37.4000    18.0250    270        EXACT     (FREE)    Top                           
C20        36.7250    17.8250    270        EXACT     (FREE)    Top                           
C21        37.5000    20.8750    090        EXACT     (FREE)    Top                           
C22        36.7250    20.9000    090        EXACT     (FREE)    Top                           
C23        40.7750    24.5500    090        EXACT     (FREE)    Top                           
C24        51.9250    16.6500    270        EXACT     (FREE)    Top                           
C25        38.2750    16.6500    270        EXACT     (FREE)    Top                           
C26        49.5500    24.6750    090        EXACT     (FREE)    Top                           
C27        34.5000    23.3000    090        EXACT     (FREE)    Top                           
C28        34.5000    22.1500    270        EXACT     (FREE)    Top                           
C35        83.7500    05.7000    270        EXACT     (FREE)    Top                           
C37        100.4250   -01.2500   270        EXACT     (FREE)    Top                           
C38        83.0500    05.9000    270        EXACT     (FREE)    Top                           
C39        83.0500    03.5500    270        EXACT     (FREE)    Top                           
C40        86.3500    03.5500    270        EXACT     (FREE)    Top                           
C43        44.6250    34.2000    180        EXACT     (FREE)    Top                           
C45        63.8750    31.1000    000        EXACT     (FREE)    Top                           
C46        85.6750    01.2250    090        EXACT     (FREE)    Top                           
C47        82.0500    03.5500    270        EXACT     (FREE)    Top                           
C48        87.7500    04.7250    000        EXACT     (FREE)    Top                           
C49        87.7500    02.3750    000        EXACT     (FREE)    Top                           
C53        57.1250    16.2250    180        EXACT     (FREE)    Top                           
C54        68.0500    23.1000    180        EXACT     (FREE)    Top                           
C55        68.0500    21.9000    180        EXACT     (FREE)    Top                           
C56        66.5000    21.9000    000        EXACT     (FREE)    Bottom                        
D1         58.7250    28.4500    180        EXACT     (FREE)    Top                           
D4         55.4500    28.4500    180        EXACT     (FREE)    Top                           
F1         37.8000    19.1750    000        EXACT     (FREE)    Top                           
FID1       -05.0000   -00.5000   000        EXACT     (FREE)    Top                           
FID2       103.5000   73.5000    000        EXACT     (FREE)    Top                           
J1         81.8000    09.8250    000        EXACT     (FREE)    Top                           
J2         -07.9000   37.5000    270        EXACT     (FREE)    Top                           
J5         81.7750    14.4500    270        EXACT     (FREE)    Top                           
J6         106.0000   61.0000    090        EXACT     (FREE)    Top                           
J7         33.5000    14.6000    000        EXACT     (FREE)    Top                           
J9         00.0750    58.6000    090        EXACT     (FREE)    Bottom                        
J10        02.0500    46.9000    090        EXACT     (FREE)    Top                           
L1         83.4500    04.7250    000        EXACT     (FREE)    Top                           
L2         83.4500    02.3750    000        EXACT     (FREE)    Top                           
L3         35.9250    17.8250    090        EXACT     (FREE)    Top                           
L4         35.9250    20.9000    270        EXACT     (FREE)    Top                           
L5         101.5250   -01.2500   270        EXACT     (FREE)    Top                           
L6         83.0500    01.2000    270        EXACT     (FREE)    Top                           
L7         85.9500    04.7250    180        EXACT     (FREE)    Top                           
L8         85.9500    02.3750    180        EXACT     (FREE)    Top                           
L9         86.3500    01.2000    270        EXACT     (FREE)    Top                           
L10        81.6500    04.7250    180        EXACT     (FREE)    Top                           
L11        81.6500    02.3750    180        EXACT     (FREE)    Top                           
L12        82.0500    01.2000    270        EXACT     (FREE)    Top                           
L13        87.3500    05.9000    270        EXACT     (FREE)    Top                           
L14        87.3500    03.5500    270        EXACT     (FREE)    Top                           
L15        87.3500    01.2000    270        EXACT     (FREE)    Top                           
R1         66.7000    26.2250    270        EXACT     (FREE)    Top                           
R2         61.1500    02.0000    180        EXACT     (FREE)    Top                           
R3         77.9000    08.2250    000        EXACT     (FREE)    Top                           
R4         61.7000    02.0000    180        EXACT     (FREE)    Top                           
R5         71.0750    38.0500    000        EXACT     (FREE)    Top                           
R6         87.5000    65.4250    000        EXACT     (FREE)    Top                           
